codigo_da_parada;logradouro;bairro;cidade;latitude;longitude
010001;Herculano Bandeira;Pina;Recife;-8 5  12.50;-34 53 14.07
010002;Herculano Bandeira;Pina;Recife;-8 5 20.59;-34 53 6.34
010003;Domingos Ferreira;Pina;Recife;-8 5 29.30;-34 53 5.99
010004;Domingos Ferreira;Pina;Recife;-8 5 41.20;-34 53 9.22
010005;Domingos Ferreira;Pina;Recife;-8 5 52.37;-34 53 11.20
010006;Domingos Ferreira;Pina;Recife;-8 6 5.31;-34 53 16.53
010007;Domingos Ferreira;Pina;Recife;-8 6 18.65;-34 53 22.64
010008;Domingos Ferreira;Boa Viagem;Recife;-8 6 28.90;-34 53 27.37
010009;Domingos Ferreira;Pina;Recife;-8 6 40.63;-34 53 34.44
010010;Domingos Ferreira;Boa Viagem;Recife;-8 6 49.79;-34 53 40.06
010011;Domingos Ferreira;Boa Viagem;Recife;- 08 06.998;- 34 53.767
010012;Domingos Ferreira;Boa Viagem;Recife;-8 7 14.08;-34 53 54.96
010013;Domingos Ferreira;Boa Viagem;Recife;-8 7 27.80;-34 54 0.70
010014;Domingos Ferreira;Boa Viagem;Recife;-8 7 37.97;-34 54 4.52
010015;Domingos Ferreira;Boa Viagem;Recife;-8 7 47.24;-34 54 8.63
010016;Jequitinhonha;Boa Viagem;Recife;-8 8 2.50;-34 54 10.63
010017;Jequitinhonha;Boa Viagem;Recife;-8 8 7.32;-34 54 12.05
010018;Jequitinhonha;Boa Viagem;Recife;-8 8 18.60;-34 54 15.57
010019;Jequitinhonha;Boa Viagem;Recife;-8 8 29.72;-34 54 19.64
010020;Jequitinhonha;Boa Viagem;Recife;-8 8 36.67;-34 54 22.68
010021;Jequitinhonha;Boa Viagem;Recife;-8 8 44.76;-34 54 26.39
010022;Jequitinhonha;Boa Viagem;Recife;-8 9 4.49;-34 54 35.04
010023;Ayrton Senna da Silva;Boa Viagem;Jaboatão dos Guararapes;-8 9 18.05;-34 54 41.49
010024;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 11 11.08;-34 55 8.81
010025;Ayrton Senna da Silva;Boa Viagem;Jaboatão dos Guararapes;-8 9 39.48;-34 54 50.57
010026;Ayrton Senna da Silva;Piedade;Jaboatão dos Guararapes;-8 9 43.92;-34 54 52.20
010027;Paulo Guerra;Piedade;Jaboatão dos Guararapes;-8 9 53.38;-34 54 55.93
010028;Ayrton Senna da Silva;Piedade;Jaboatão dos Guararapes;-8 10 5.74;-34 54 59.39
010029;Ayrton Senna da Silva;Piedade;Jaboatão dos Guararapes;-8 10 16.10;-34 55 2.19
010030;Ayrton Senna da Silva;Piedade;Jaboatão dos Guararapes;-8 10 26.18;-34 55 5.22
010031;Paulo Guerra;Candeias;Jaboatão dos Guararapes;-8 10 37.93;-34 55 6.67
010032;Paulo Guerra;Candeias;Jaboatão dos Guararapes;-8 10 47.84;-34 55 9.84
010033;Paulo Guerra;Candeias;Jaboatão dos Guararapes;-8 10 54.770;-34 55 11.730
010035;Ayrton Senna da Silva;Candeias;Jaboatão dos Guararapes;-8.1869;-34.9213
010037;Joaquim Marques de Jesus;Candeias;Jaboatão dos Guararapes;-8 11 22.99;-34 55 14.72
010038;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 11 27.24;-34 55 13.80
010039;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 11 35.50;-34 55 14.93
010040;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8.1964;-34.9205
010041;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 11 55.75;-34 55 11.83
010042;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 4.54;-34 55 8.64
010043;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 17.24;-34 55 9.18
010044;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 31.93;-34 55 12.59
010045;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 41.04;-34 55 15.15
010046;Castelo Branco;Barra de Jangada;Jaboatão dos Guararapes;-8 12 51.02;-34 55 18.50
010047;Castelo Branco;Barra de Jangada;Jaboatão dos Guararapes;-8 12 59.35;-34 55 21.91
010048;Osias Ribeiro;Barra de Jangada;Jaboatão dos Guararapes;-8 13 0.11;-34 55 25.14
010049;Ulisses Montarroyos;Barra de Jangada;Jaboatão dos Guararapes;-8 13 0.02;-34 55 32.89
010050;Criciúma;Barra de Jangada;Jaboatão dos Guararapes;-8 13 5.10;-34 55 42.87
010051;Criciúma;Barra de Jangada;Jaboatão dos Guararapes;-8 13 5.44;-34 55 47.57
010052;Criciúma;Barra de Jangada;Jaboatão dos Guararapes;-8 13 5.46;-34 55 54.09
010053;Cruz Alta;Barra de Jangada;Jaboatão dos Guararapes;-8 13 7.79;-34 56 3.69
010054;Cruz Alta;Barra de Jangada;Jaboatão dos Guararapes;-8 13 13.73;-34 56 2.73
010055;Cruz Alta;Barra de Jangada;Jaboatão dos Guararapes;-8 13 7.60;-34 56 3.10
010056;Criciúma;Barra de Jangada;Jaboatão dos Guararapes;-8 13 5.62;-34 56 0.21
010057;Criciúma;Barra de Jangada;Jaboatão dos Guararapes;-8 13 5.87;-34 55 53.01
010058;Criciúma;Barra de Jangada;Jaboatão dos Guararapes;-8 13 5.65;-34 55 46.20
010059;Criciúma;Barra de Jangada;Jaboatão dos Guararapes;-8 13 5.39;-34 55 40.17
010060;Ulisses Montarroyos;Barra de Jangada;Jaboatão dos Guararapes;-8 12 59.04;-34 55 32.08
010062;Castelo Branco;Barra de Jangada;Jaboatão dos Guararapes;-8 12 56.15;-34 55 19.65
010063;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 47.48;-34 55 16.50
010064;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 40.77;-34 55 14.30
010065;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 31.98;-34 55 11.94
010066;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 26.35;-34 55 10.40
010067;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 13.64;-34 55 7.59
010068;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 12 4.06;-34 55 8.04
010069;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 11 57.14;-34 55 10.55
010070;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 11 50.94;-34 55 12.34
010071;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 11 39.82;-34 55 14.23
010072;Castelo Branco;Candeias;Jaboatão dos Guararapes;-8 11 31.57;-34 55 13.85
010073;Bernardo Vieira de Melo;Candeias;Jaboatão dos Guararapes;-8 11 18.80;-34 55 9.19
010074;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 11 11.08;-34 55 8.81
010075;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 11 4.29;-34 55 8.09
010076;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 10 53.32;-34 55 5.70
010077;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 10 48.10;-34 55 4.31
010078;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 10 36.85;-34 55 0.61
010079;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 10 27.81;-34 54 59.66
010080;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 10 18.82;-34 54 57.51
010081;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 10 13.19;-34 54 55.89
010082;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 10 4.34;-34 54 53.26
010083;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 9 54.41;-34 54 50.26
010084;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 9 48.66;-34 54 48.44
010085;Bernardo Vieira de Melo;Piedade;Jaboatão dos Guararapes;-8 9 39.92;-34 54 45.35
010086;Beira Mar;Piedade;Jaboatão dos Guararapes;-8 9 31.83;-34 54 39.02
010087;Beira Mar;Piedade;Jaboatão dos Guararapes;-8 9 22.24;-34 54 35.19
010088;Boa Viagem;Boa Viagem;Recife;-8 8 59.73;-34 54 26.05
010089;Boa Viagem;Boa Viagem;Recife;-8 8 50.81;-34 54 22.20
010090;Boa Viagem;Boa Viagem;Recife;-8 8 44.10;-34 54 19.03
010091;Boa Viagem;Boa Viagem;Recife;-8 8 33.20;-34 54 13.65
010092;Boa Viagem;Boa Viagem;Recife;-8 8 22.24;-34 54 9.51
010093;Boa Viagem;Boa Viagem;Recife;-8 8 9.28;-34 54 5.21
010094;Boa Viagem;Boa Viagem;Recife;-8 8 3.90;-34 54 3.25
010095;Souza Leão;Boa Viagem;Recife;-8 7 56.19;-34 54 2.46
010096;Setúbal;Boa Viagem;Recife;-8 7 54.17;-34 54 4.79
010097;Aguiar;Boa Viagem;Recife;-8 7 44.35;-34 54 2.03
010098;Aguiar;Boa Viagem;Recife;-8 7 31.36;-34 53 57.12
010099;Aguiar;Boa Viagem;Recife;-8 7 19.39;-34 53 52.61
010100;Aguiar;Boa Viagem;Recife;-8 7 6.31;-34 53 45.14
010101;Aguiar;Boa Viagem;Recife;-8 6 59.69;-34 53 41.20
010102;Aguiar;Boa Viagem;Recife;-8 6 50.96;-34 53 35.96
010103;Aguiar;Boa Viagem;Recife;-8 6 41.76;-34 53 30.31
010104;Aguiar;Boa Viagem;Recife;-8 6 33.60;-34 53 25.57
010105;Aguiar;Boa Viagem;Recife;-8 6 26.22;-34 53 22.18
010106;Aguiar;Boa Viagem;Recife;-8 6 16.98;-34 53 17.97
010107;Aguiar;Boa Viagem;Recife;-8 6 0.49;-34 53 10.46
010109;Aguiar;Boa Viagem;Recife;-8 5 29.60;-34 53 1.22
010110;Antônio de Góes;Pina;Recife;-8 5 17.99;-34 53 1.96
010111;Antônio de Góes;Pina;Recife;-8 5 16.29;-34 53 2.99
010112;Antônio de Góes;Pina;Recife;-8 5 10.49;-34 53 9.17
010113;Antônio de Góes;Pina;Recife;-8 5 9.44;-34 53 9.47
010114;Antônio de Góes;Pina;Recife;-8 5 4.93;-34 53 14.47
010115;Antônio de Góes;Pina;Recife;-8 5 4.62;-34 53 14.15
010116;Nogueira de Souza,;Pina;Recife;-8 5 11.07;-34 53 18.61
010117;República Árabe Unida;Pina;Recife;-8 5 9.79;-34 53 22.80
010122;Amador Bueno;Pina;Recife;-8 5 16.01;-34 53 47.42
010123;Dirceu Toscano de Brito;Pina;Recife;-8 5 18.83;-34 53 44.85
010128;Encanta Moça;Pina;Recife;-8 5 19.33;-34 53 10.71
010129;Encanta Moça;Pina;Recife;-8 5 36.75;-34 53 12.36
010130;Encanta Moça;Pina;Recife;-8 5 44.85;-34 53 14.33
010131;Encanta Moça;Pina;Recife;-8 5 52.53;-34 53 17.16
010132;Tomé Gibson;Pina;Recife;-8 5 51.91;-34 53 19.31
010133;José Rodrigues;Pina;Recife;-8 5 47.72;-34 53 19.29
010134;José Rodrigues;Pina;Recife;-8 5 41.23;-34 53 25.07
010135;José Rodrigues;Pina;Recife;-8 5 37.94;-34 53 28.05
010136;José Rodrigues;Pina;Recife;-8 5 44.67;-34 53 22.99
010137;José Rodrigues;Pina;Recife;-8 5 47.74;-34 53 19.86
010138;Tomé Gibson;Pina;Recife;-8 5 52.42;-34 53 18.96
010139;Herculano Bandeira;Pina;Recife;-8 5 26.98;-34 52 59.98
010140;Morais;Pina;Recife;-8 5 21.57;-34 52 53.51
010141;Morais;Pina;Recife;-8 5 17.08;-34 52 55.51
010142;Dagoberto Pires;Pina;Recife;-8 5 12.35;-34 52 50.89
010143;Arabaiana;Pina;Recife;-8 5 5.97;-34 52 47.82
010144;Arabaiana;Pina;Recife;-8 5 1.34;-34 52 49.37
010145;Delfim;Brasília Teimosa;Recife;-8 4 56.69;-34 52 53.38
010146;Delfim;Brasília Teimosa;Recife;-8 4 59.46;-34 52 57.69
010147;Francisco Valpassos;Pina;Recife;-8 5 3.79;-34 52 59.90
010148;Francisco Valpassos;Pina;Recife;-8 5 9.60;-34 52 58.52
010149;Morais;Pina;Recife;-8 5 16.55;-34 52 56.25
010150;Brasília Formosa (Terminal);Brasília Teimosa;Recife;-8 5 8.09;-34 52 41.85
010151;Brasília Formosa (Terminal);Brasília Teimosa;Recife;-8 4 59.75;-34 52 38.72
010152;Brasília Formosa (Terminal);Brasília Teimosa;Recife;-8 4 49.03;-34 52 35.95
010153;Brasília Formosa (Terminal);Brasília Teimosa;Recife;-8 4 57.06;-34 52 38.25
010154;Brasília Formosa (Terminal);Brasília Teimosa;Recife;-8 5 1.13;-34 52 39.37
010155;Brasília Formosa (Terminal);Brasília Teimosa;Recife;-8 5 7.95;-34 52 42.17
010156;Antônio Falcão;Boa Viagem;Recife;-8 6 53.28;-34 53 51.36
010157;Antônio Falcão;Boa Viagem;Recife;-8 6 49.32;-34 53 57.84
010158;Mac Arthur;Boa Viagem;Recife;-8.1121;-34.9025
010159;Mac Arthur;Imbiribeira;Recife;-8.1113;-34.9044
010160;Mac Arthur;Imbiribeira;Recife;-8 6 35.28;-34 54 25.92
010161;Mac Arthur;Imbiribeira;Recife;-8 6 33.10;-34 54 36.87
010162;Jacy;Imbiribeira;Recife;-8 6 33.38;-34 54 39.83
010163;Joaquim Bandeira;Imbiribeira;Recife;-8 6 37.30;-34 54 40.32
010164;Joaquim Bandeira;Imbiribeira;Recife;-8.1106;-34.9085
010165;Alfredo Marcondes;Imbiribeira;Recife;-8 6 40.50;-34 54 26.28
010166;Antônio Torres Galvão;Imbiribeira;Recife;-8 6 46.36;-34 54 19.60
010167;Antônio Torres Galvão;Imbiribeira;Recife;-8.1136;-34.9040
010168;Antônio Torres Galvão;Imbiribeira;Recife;-8 6 53.17;-34 54 6.56
010169;Félix de Brito Melo;Boa Viagem;Recife;-8.1160;-34.8993
010170;Fernando Simões Barbosa;Boa Viagem;Recife;-8.1165;-34.9010
010171;Fernando Simões Barbosa;Boa Viagem;Recife;-8 7 9.05;-34 54 4.74
010172;Fernando Simões Barbosa;Boa Viagem;Recife;-8 7 21.00;-34 54 5.40
010173;Fernando Simões Barbosa;Boa Viagem;Recife;-8.1240;-34.9016
010174;Fernando Simões Barbosa;Boa Viagem;Recife;-8 7 36.12;-34 54 6.48
010175;João Medeiros;Boa Viagem;Recife;-8 7 37.85;-34 54 5.51
010176;João Medeiros;Boa Viagem;Recife;-8 7 7.79;-34 54 3.23
010177;Carapuceiro;Boa Viagem;Recife;-8.1191;-34.8974
010178;Carapuceiro;Boa Viagem;Recife;-8.1177;-34.9006
010179;Carapuceiro;Boa Viagem;Recife;-8 7 1.85;-34 54 5.29
010180;Shopping Center;Boa Viagem;Recife;-8.1203;-34.9022
010181;Ribeiro de Brito;Boa Viagem;Recife;-8 7 24.14;-34 54 3.16
010182;Ribeiro de Brito;Boa Viagem;Recife;-8 7 22.55;-34 54 17.91
010183;Ribeiro de Brito;Boa Viagem;Recife;-8 7 22.63;-34 54 24.67
010184;Ernesto de Paula Santos;Boa Viagem;Recife;-8 7 27.48;-34 54 26.03
010185;Ernesto de Paula Santos;Boa Viagem;Recife;-8.1241;-34.9049
010186;Ernesto de Paula Santos;Boa Viagem;Recife;-8.1243;-34.9024
010187;Jequitinhonha;Boa Viagem;Recife;-8.1287;-34.9029
010188;Jequitinhonha;Boa Viagem;Recife;-8.1254;-34.9037
010189;Bruno Veloso;Boa Viagem;Recife;-8.1209;-34.9045
010190;Domingos de Brito;Boa Viagem;Recife;-8.1219;-34.9052
010191;Francisco Correia de Morais;Boa Viagem;Recife;-8 7 30.04;-34 54 38.45
010192;Joaquim Pinheiro;Boa Viagem;Recife;-8 7 35.76;-34 54 41.76
010193;João Paes;Boa Viagem;Recife;-8.1266;-34.9085
010194;João Paes;Boa Viagem;Recife;-8.1262;-34.9067
010195;João Paes;Boa Viagem;Recife;-8.1260;-34.9040
010196;Silvino Macedo;Imbiribeira;Recife;-8 6 42.02;-34 54 23.92
010197;Silvino Macedo;Imbiribeira;Recife;-8 6 51.49;-34 54 26.08
010198;Alameda das Hortências;Imbiribeira;Recife;-8 6 56.94;-34 54 30.80
010199;Sul;Imbiribeira;Recife;-8.1163;-34.9104
010200;Pedro Augusto Carneiro Leão;Imbiribeira;Recife;-8.1188;-34.9096
010201;Sinésio de Aragão;Imbiribeira;Recife;-8.1178;-34.9098
010202;Sul;Imbiribeira;Recife;-8.1159;-34.9102
010203;Alameda das Hortências;Imbiribeira;Recife;-8 6 57.43;-34 54 28.43
010204;Silvino Macedo;Imbiribeira;Recife;-8.1140;-34.9071
010205;Silvino Alves (N. S. do Ó);Imbiribeira;Ipojuca;-8.1124;-34.9068
010206;Silvino Macedo;Imbiribeira;Recife;-8.1113;-34.9065
010207;Dez de Julho;Boa Viagem;Recife;-8 8 3.96;-34 54 56.31
010208;Dez de Julho;Boa Viagem;Recife;-8.1352;-34.9116
010209;Dez de Julho;Boa Viagem;Recife;-8.1358;-34.9093
010210;Zuzinha;Boa Viagem;Recife;-8.1352;-34.9070
010211;Zuzinha;Boa Viagem;Recife;-8.1342;-34.9052
010212;Zuzinha;Boa Viagem;Recife;-8.1331;-34.9032
010213;Souza Leão;Boa Viagem;Recife;-8.1317;-34.9053
010214;Souza Leão;Imbiribeira;Recife;-8.1323;-34.9074
010215;Souza Leão;Boa Viagem;Recife;-8 7 57.58;-34 54 36.72
010216;Souza Leão;Boa Viagem;Recife;-8.1329;-34.9118
010217;Souza Leão;Boa Viagem;Recife;-8.1328;-34.9140
010218;Sá e Souza;Boa Viagem;Recife;-8 8 2.66;-34 54 23.25
010219;Sá e Souza;Boa Viagem;Recife;-8 8 9.92;-34 54 22.61
010220;Sá e Souza;Boa Viagem;Recife;-8.1383;-34.9069
010221;Sá e Souza;Boa Viagem;Recife;-8.1400;-34.9077
010222;João Cardoso Ayres;Boa Viagem;Recife;-8.1419;-34.9093
010224;Cardoso Aires;Boa Viagem;Recife;-8.1398;-34.9141
010225;Vinte de Janeiro;Boa Viagem;Recife;-8.1385;-34.9144
010227;Vinte de Janeiro;Boa Viagem;Recife;-8.1368;-34.9140
010228;Vinte de Janeiro;Boa Viagem;Recife;-8.1388;-34.9145
010229;João Cardoso Ayres;Boa Viagem;Recife;-8.1399;-34.9140
010230;João Cardoso Ayres;Boa Viagem;Recife;-8.1403;-34.9125
010231;João Cardoso Ayres;Boa Viagem;Recife;-8.1418;-34.9097
010232;Sá e Souza;Boa Viagem;Recife;-8.1403;-34.9077
010233;Sá e Souza;Boa Viagem;Recife;-8.1379;-34.9067
010234;Sá e Souza;Boa Viagem;Recife;-8.1358;-34.9061
010235;Juarez Távora;Boa Viagem;Recife;-8  8 7.60;-34 54 30.17
010236;Juarez Millet;Boa Viagem;Recife;-8 8 0.76;-34 54 36.71
010237;José Neves;Boa Viagem;Recife;-8  7 51.35;-34 54 37.82
010238;José Neves;Boa Viagem;Recife;-8 7 43.63;-34 54 36.45
010239;José Neves;Boa vista;Recife;-8  7 34.86;-34 54 34.06
010240;João VI;Boa Viagem;Recife;-8 7 13.41;-34 54 31.55
010241;João VI;Boa Viagem;Recife;-8  7 4.69;-34 54 20.80
010242;João VI;Boa Viagem;Recife;-8  6 54.53;-34 54 11.35
010243;João VI;Boa Viagem;Recife;-8 6 56.59;-34 54 15.75
010244;João VI;Boa Viagem;Recife;-8  7 14.20;-34 54 34.05
010245;Cosmorama;Boa Viagem;Recife;-8 8 53.86;-34 54 49.74
010246;Cosmorama;Boa vista;Recife;-8 8 47.75;-34 54 47.41
010247;Cosme Viana;Boa Viagem;Recife;-8  8 37.33;-34 54 43.47
010248;Cosme Viana;Boa Viagem;Recife;-8  8 32.88;-34 54 41.76
010249;Cosme Viana;Boa Viagem;Recife;-8  8 36.83;-34 54 43.66
010250;Cosme Viana;Boa Viagem;Recife;-8  8 52.83;-34 54 49.72
010251;Armindo Moura;Boa Viagem;Recife;-8 8 51.66;-34 55 1.34
010252;Armindo Moura;Boa Viagem;Recife;-8  8 55.03;-34 54 52.45
010253;Armindo Moura;Boa Viagem;Recife;-8 8 56.72;-34 54 47.91
010254;Armindo Moura;Boa Viagem;Recife;-8 8 59.91;-34 54 39.77
010255;Armindo Moura;Boa Viagem;Recife;-8  9 2.81;-34 54 30.52
010256;Armindo Moura;Boa Viagem;Recife;-8  8 58.06;-34 54 43.28
010257;Armindo Moura;Boa Viagem;Recife;-8  8 56.06;-34 54 48.55
010258;Armindo Moura;Boa Viagem;Recife;-8 8 52.39;-34 54 58.17
010259;Armindo Moura;Boa Viagem;Recife;-8  8 49.62;-34 55 5.57
010260;Maria Souza;Massangana;Jaboatão dos Guararapes;-8  8 58.49;-34 54 51.99
010261;Maria Souza;Massangana;Jaboatão dos Guararapes;-8 9 7.99;-34 54 56.50
010262;Maria Souza;Massangana;Jaboatão dos Guararapes;-8  9 17.35;-34 55 3.40
010263;Maria Souza;Massangana;Jaboatão dos Guararapes;-8  9 17.49;-34 55 3.08
010264;Maria Souza;Massangana;Jaboatão dos Guararapes;-8   9 8.19;-34 54 56.21
010265;Maria Souza;Massangana;Jaboatão dos Guararapes;-8   9 0.37;-34 54 52.31
010266;Quatro de Outubro;Piedade;Jaboatão dos Guararapes;-8 9  27.59;-34 54 55.41
010267;Quatro de Outubro;Massangana;Jaboatão dos Guararapes;-8 9 20.20;-34 55 4.41
010268;Agamenon Magalhães;Massangana;Jaboatão dos Guararapes;-8   9 20.83;-34  55 11.43
010269;Agamenon Magalhães;Massangana;Olinda;-8   9 28.20;-34 55 14.80
010270;Agamenon Magalhães;Massangana;Olinda;-8 9 34.12;-34 55 17.48
010271;Agamenon Magalhães;Massangana;Olinda;-8 9 44.27;-34 55 22.18
010272;Aarão Lins de Andrade;Piedade;Jaboatão dos Guararapes;-8 9 48.68;-34 55 24.99
010273;Barreto de Menezes;Massangana;Jaboatão dos Guararapes;-8 9 54.17;-34 55 22.61
010274;Barreto de Menezes;Prazeres;Jaboatão dos Guararapes;-8 10 0.30;-34 55 18.59
010275;Ulisses Montarroyos;Prazeres;Jaboatão dos Guararapes;-8 10 7.00;-34 55 14.05
010277;Barreto de Menezes;Piedade;Jaboatão dos Guararapes;-8 10 12.69;-34 55 9.72
010278;Barreto de Menezes;Piedade;Jaboatão dos Guararapes;-8 10 20.67;-34 55 1.54
010279;Dagoberto Pires;Brasília Teimosa;Recife;-8 5  10.65;-34 52 46.73
010281;Agamenon Magalhães;Piedade;Jaboatão dos Guararapes;-8 9 47.27;-34 55 23.17
010282;Agamenon Magalhães;Massangana;Olinda;-8 9 38.17;-34 55 18.89
010283;Agamenon Magalhães;Massangana;Jaboatão dos Guararapes;-8  9 30.27;-34 55 15.34
010284;Agamenon Magalhães;Massangana;Jaboatão dos Guararapes;-8   9 23.39;-34 55 12.27
010285;Agamenon Magalhães;Massangana;Jaboatão dos Guararapes;-8  9 18.25;-34 55 8.74
010286;Sebastião;Piedade;Jaboatão dos Guararapes;-8 11 0.86;-34 55 19.45
010287;Sebastião;Jardim Piedade;Jaboatão dos Guararapes;-8 10 58.84;-34 55 27.30
010288;Sebastião;Jardim Piedade;Jaboatão dos Guararapes;-8 10 57.07;-34 55 33.68
010289;Sebastião;Jardim Piedade;Jaboatão dos Guararapes;-8 10 55.42;-34 55 40.54
010290;Sebastião;Jardim Piedade;Jaboatão dos Guararapes;-8 10 53.37;-34 55 48.35
010291;Sebastião;Jardim Piedade;Jaboatão dos Guararapes;-8 10 50.54;-34 55 55.84
010293;Sebastião;Jardim Piedade;Jaboatão dos Guararapes;-8 10 51.10;-34 55 55.65
010294;Sebastião;Jardim Piedade;Jaboatão dos Guararapes;-8 10 54.01;-34 55 47.08
010295;Sebastião;Jardim Piedade;Jaboatão dos Guararapes;-8 10 56.12;-34 55 38.98
010296;Sebastião;Jardim Piedade;Jaboatão dos Guararapes;-8 10 57.67;-34 55 32.86
010297;Sebastião;Jardim Piedade;Jaboatão dos Guararapes;-8 10 59.56;-34 55 25.78
010298;Sebastião;Jardim Piedade;Jaboatão dos Guararapes;-8 11 1.68;-34 55 17.40
010299;Aniceto Varejão;Piedade;Jaboatão dos Guararapes;-8 11 26.08;-34 55 22.23
010300;Aniceto Varejão;Piedade;Jaboatão dos Guararapes;-8 11 24.21;-34 55 32.08
010301;Cuiabá;Piedade;Jaboatão dos Guararapes;-8 11 30.51;-34 55 34.78
010302;Jangadeiro;Piedade;Jaboatão dos Guararapes;-8 11 35.73;-34 55 38.99
010303;Jangadeiro;Piedade;Jaboatão dos Guararapes;-8 11 35.68;-34 55 46.87
010304;Jangadeiro;Piedade;Jaboatão dos Guararapes;-8 11 35.62;-34 55 52.76
010305;Caracol;Piedade;Jaboatão dos Guararapes;-8 11 38.42;-34 55 57.05
010306;Henrique Capitulino;Candeias;Jaboatão dos Guararapes;-8 11 41.69;-34 55 58.39
010307;João Fragoso de Medeiros;Candeias;Jaboatão dos Guararapes;-8 11 42.27;-34 56 5.31
010309;Caracol;Candeias;Jaboatão dos Guararapes;-8 11 42.63;-34 55 56.81
010312;Jangadeiro;Piedade;Jaboatão dos Guararapes;-8 11 35.92;-34 55 50.81
010313;Jangadeiro;Piedade;Jaboatão dos Guararapes;-8 11 35.91;-34 55 27.67
010314;Jangadeiro;Piedade;Jaboatão dos Guararapes;-8 11 36.00;-34 55 40.56
010315;Cuiabá;Piedade;Jaboatão dos Guararapes;-8 11 29.74;-34 55 34.04
010316;Aniceto Varejão;Piedade;Jaboatão dos Guararapes;-8 11 24.90;-34 55 31.01
010317;Aniceto Varejão;Piedade;Jaboatão dos Guararapes;-8 11 26.96;-34 55 20.20
010318;Aniceto Varejão;Piedade;Jaboatão dos Guararapes;-8 11 27.67;-34 55 16.77
010319;Aníbal Ribeiro Varejão;Piedade;Jaboatão dos Guararapes;-8 11 48.43;-34 55 14.86
010320;Aníbal Ribeiro Varejão;Piedade;Jaboatão dos Guararapes;-8 11 49.93;-34 55 21.61
010321;Sílvio Rabelo;Piedade;Jaboatão dos Guararapes;-8 11 54.65;-34 55 23.88
010322;Sílvio Rabelo;Piedade;Jaboatão dos Guararapes;-8 11 56.37;-34 55 30.29
010323;Sílvio Rabelo;Piedade;Jaboatão dos Guararapes;-8 11 57.92;-34 55 36.01
010324;Sílvio Rabelo;Piedade;Jaboatão dos Guararapes;-8 11 59.38;-34 55 41.50
010325;Sílvio Rabelo;Candeias;Jaboatão dos Guararapes;-8 12 0.77;-34 55 46.46
010326;Sílvio Rabelo;Candeias;Jaboatão dos Guararapes;-8 12 3.21;-34 55 54.86
010327;Sílvio Rabelo;Candeias;Jaboatão dos Guararapes;-8 12 2.85;-34 55 49.71
010328;Sílvio Rabelo;Candeias;Jaboatão dos Guararapes;-8 11 59.75;-34 55 41.50
010329;Sílvio Rabelo;Candeias;Jaboatão dos Guararapes;-8 11 58.11;-34 55 35.41
010330;Sílvio Rabelo;Candeias;Jaboatão dos Guararapes;-8 11 56.15;-34 55 28.13
010331;Sílvio Rabelo;Candeias;Jaboatão dos Guararapes;-8 11 54.64;-34 55 22.57
010332;Aníbal Ribeiro Varejão;Candeias;Jaboatão dos Guararapes;-8 11 50.43;-34 55 21.91
010333;Aníbal Ribeiro Varejão;Candeias;Jaboatão dos Guararapes;-8 11 48.80;-34 55 14.62
010334;Curcurana;Barra de Jangada;Jaboatão dos Guararapes;-8 13 24.58;-34 55 45.14
010335;Porto Alegre;Barra de Jangada;Jaboatão dos Guararapes;-8 13 13.49;-34 55 45.12
010336;Porto Alegre;Barra de Jangada;Cabo de Santo Agostinho;-8 13 8.47;-34 55 51.88
010337;Porto Alegre;Barra de Jangada;Jaboatão dos Guararapes;-8 13 7.70;-34 55 53.38
